X,Y,Z
355,-600,1
453,-499,0
490,-443,-1
548,-317,-1
566,-249,-1
580,-113,0
576,-41,0
544,98,0
483,221,0
444,278,0
353,376,-1
298,412,0
184,474,0
119,492,-1
-13,515,0
-79,516,1
-211,492,0
-331,445,0
-387,413,0
-486,326,0
-531,279,0
-600,163,0
-626,99,0
-656,-39,0
-662,-110,-1
-646,-244,0
-604,-374,-1
-570,-441,-1
-488,-548,0
-439,-595,0
-324,-673,-1
-258,-699,-1
-127,-736,-1
7,-741,0
76,-730,0
203,-692,0
264,-662,-1
373,-580,1
423,-535,0
503,-421,0
531,-364,0
567,-234,-1
580,-99,0
574,-30,-1
542,106,-1
515,168,0
438,292,-1
385,342,-1
277,425,1
218,458,0
89,501,0
-51,515,-1
-116,512,-1
-250,481,0
-313,457,0
-429,381,0
-477,340,0
-560,239,0
-619,116,-1
-642,49,-1
-659,-76,-1
-661,-148,0
-637,-284,0
-616,-349,0
-556,-463,-1
-516,-512,0
-422,-608,-1
-305,-683,-1
-244,-705,-1
-108,-737,0
-37,-741,0
